conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
PERIOD_UID:1,Predynastic,عصر ما قبل الأسرات,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,TMP
PERIOD_UID:2,Palaeolithic/Epi Palaeolithic,العصر الحجري القديم,,PERIOD_UID:1,Index,TMP
PERIOD_UID:3,Neolithic/Chalcolithic,العصر الحجري الحديث,,PERIOD_UID:1,Index,TMP
PERIOD_UID:4,Proto-Dynastic,عصر قُبيل الأسرات,,PERIOD_UID:1,Index,TMP
PERIOD_UID:5,Dynastic Period,عصر الأسرات,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,TMP
PERIOD_UID:6,Early Dynastic Period,عصر الأسرات المبكر,,PERIOD_UID:5,Index,BM
PERIOD_UID:7,Old Kingdom,الدولة القديمة,,PERIOD_UID:5,Index,Shaw
PERIOD_UID:8,First Intermediate Period,عصر الإنتقال (الاضمحلال) الأول,,PERIOD_UID:5,Index,Shaw
PERIOD_UID:9,Middle Kingdom,الدولة الوسطي,,PERIOD_UID:5,Index,Shaw
PERIOD_UID:10,Second Intermediate Period,عصر الإنتقال (الاضمحلال) الثاني,,PERIOD_UID:5,Index,BM
PERIOD_UID:11,New Kingdom,الدولة الحديثة,,PERIOD_UID:5,Index,BM
PERIOD_UID:12,Third Intermediate Period,عصر الإنتقال( الاضمحلال) الثالث,,PERIOD_UID:5,Index,BM
PERIOD_UID:13,Late Period,العصر المتأخر,,PERIOD_UID:5,Index,BM
PERIOD_UID:14,Late Antiquity,أواخر العصور القديمة,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,TMP
PERIOD_UID:15,Ptolemaic,العصر البطلمي(البطالمة),,PERIOD_UID:14,Index,BM
PERIOD_UID:16,Roman,العصر الروماني (الرومان),,PERIOD_UID:14,Index,BM
PERIOD_UID:17,Byzantine Period/Coptic,العصر البيزنطي/القبطي,,PERIOD_UID:14,Index,BM
PERIOD_UID:18,Modern/Islamic,العصر الإسلامي/الحديث,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,TMP
PERIOD_UID:19,Unknown,غير معرف,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,TMP
PERIOD_UID:20,Nubian Periods,عصور الحضارة النوبية,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,Collector,TMP
PERIOD_UID:21,A-Group ,A المجموعة,,PERIOD_UID:20,Index,TMP
PERIOD_UID:22,C-Group ,C المجموعة,,PERIOD_UID:20,Index,TMP
PERIOD_UID:23,X-Group ,X المجموعة,,PERIOD_UID:20,Index,TMP
PERIOD_UID:24,Meroitic Period ,العصر المروي,,PERIOD_UID:20,Index,TMP
