conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
DYNASTY_UID:1,Maadian,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,TMP
DYNASTY_UID:2,Badarian,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,TMP
DYNASTY_UID:3,Naqada 1,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,TMP
DYNASTY_UID:4,Naqada II,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,TMP
DYNASTY_UID:5,Dynasty 0,,Naqada II A-B,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,TMP
DYNASTY_UID:6,1st Dynasty,,Naqada III C-D,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:7,2nd Dynasty,,Naqada III-D,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:8,3rd Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:9,4th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:10,5th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:11,6th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:12,7th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:13,8th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:14,9th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:15,10th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:16,Early 11th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:17,Late 11th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:18,12th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:19,13th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:20,14th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:21,15th Dynasty,,Hyksos,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:22,16th Dynasty,,Hyksos,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:23,17th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:24,18th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:25,19th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:26,20th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:27,21st Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:28,22nd Dynasty,,Libyan,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:29,23rd Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:30,24th Dynasty,,Sais,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:31,25th Dynasty,,Nubian,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:32,26th Dynasty,,Saite,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:33,27th Dynasty,,1st Persian,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:34,28th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:35,29th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:36,30th Dynasty,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:37,31st Dynasty,,2nd Persian,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:38,Macedonian,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:39,Ptolemaic,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:40,Roman,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
DYNASTY_UID:41,Unknown,,,DYNASTY_AUTHORITY_DOCUMENT.csv,Index,BM
