Conceptid,Value,ValueType,Provider
DYNASTY_UID:1,01,sortorder,TMP
DYNASTY_UID:2,02,sortorder,TMP
DYNASTY_UID:3,03,sortorder,TMP
DYNASTY_UID:4,04,sortorder,TMP
DYNASTY_UID:5,05,sortorder,TMP
DYNASTY_UID:6,06,sortorder,TMP
DYNASTY_UID:7,07,sortorder,TMP
DYNASTY_UID:8,08,sortorder,TMP
DYNASTY_UID:9,09,sortorder,TMP
DYNASTY_UID:10,10,sortorder,TMP
DYNASTY_UID:11,11,sortorder,TMP
DYNASTY_UID:12,12,sortorder,TMP
DYNASTY_UID:13,13,sortorder,TMP
DYNASTY_UID:14,14,sortorder,TMP
DYNASTY_UID:15,15,sortorder,TMP
DYNASTY_UID:16,16,sortorder,TMP
DYNASTY_UID:17,17,sortorder,TMP
DYNASTY_UID:18,18,sortorder,TMP
DYNASTY_UID:19,19,sortorder,TMP
DYNASTY_UID:20,20,sortorder,TMP
DYNASTY_UID:21,21,sortorder,TMP
DYNASTY_UID:22,22,sortorder,TMP
DYNASTY_UID:23,23,sortorder,TMP
DYNASTY_UID:24,24,sortorder,TMP
DYNASTY_UID:25,25,sortorder,TMP
DYNASTY_UID:26,26,sortorder,TMP
DYNASTY_UID:27,27,sortorder,TMP
DYNASTY_UID:28,28,sortorder,TMP
DYNASTY_UID:29,29,sortorder,TMP
DYNASTY_UID:30,30,sortorder,TMP
DYNASTY_UID:31,31,sortorder,TMP
DYNASTY_UID:32,32,sortorder,TMP
DYNASTY_UID:33,33,sortorder,TMP
DYNASTY_UID:34,34,sortorder,TMP
DYNASTY_UID:35,35,sortorder,TMP
DYNASTY_UID:36,36,sortorder,TMP
DYNASTY_UID:37,37,sortorder,TMP
DYNASTY_UID:38,38,sortorder,TMP
DYNASTY_UID:39,39,sortorder,TMP
DYNASTY_UID:40,40,sortorder,TMP
DYNASTY_UID:41,41,sortorder,TMP
