conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
GOVERNORATE:1,Alexandria,لإسكندرية,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:2,Aswan,أسوان,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:3,Asyut,أسيوط,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:4,Beheira,البحيرة,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:5,Beni Suef,بني سويف,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:6,Cairo,القاهرة,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:7,Dakahila,الدقهلية,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:8,Damietta,دمياط,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:9,Faiyum,الفيوم,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:10,Gharbia,كفر الشيخ,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:11,Giza,الجيزة,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:12,Ismailia,الإسماعيلية,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:13,Kafr el-Sheikh,كفر الشيخ,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:14,Luxor,مدينة الأقصر,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:15,Matruh,مطروح,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:16,Minya,المنيا,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:17,Monufia,المنوفية,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:18,New Valley,الوادي الجديد,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:19,North Sinai,شمال سيناء,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:20,Port Said,بورسعيد,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:21,Qalyubia,القليوبية,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:22,Qena,قنا,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:23,Red Sea,البحر الأحمر,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:24,Sharqia,الشرقية,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:25,Sohag,سوهاج,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:26,South Sinai,جنوب سيناء,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
GOVERNORATE:27,Suez,السويس,,GOVERNORATE_AUTHORITY_DOCUMENT.csv,Index,Wiki/EAIS
