conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
ARCHRES_TYPE_ID:1,Administrative center,مركز إداري,Veraltungszentrale,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:2,Bathhouse,حمام,Sauna;Spa;Hammam,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:3,Cemetery,جبانة,Necropolis;cimetière;Nekropole,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:4,Church,كنيسة,Basilica;Cathedral;Kirche;église,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:5,Fortification,حصن، برج مراقبة,Watch Tower;Praesidium;Skopelos,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:6,Graffiti,مخربشات، جرافيتي,Petroglyph,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:7,Hydreuma,بئر، مكان للسقاية، عين،نبع,Well;Spring;Water Station;Rest Stop,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:8,Hydrological Feature,"قناه للري, سد, كوبري",Canal;Dam;Irrigation;Flood Control;Dyke;Barrage,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:9,Inscriptions,نقوش,Inschriften,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:10,Magazine,مخزن,Granary;Storeroom;Animal pens;Magasin,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:11,Mammisi,بيت الولادة، غرفة الولادة,Birthhouse,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:12,Mine,منجم,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:13,Monastery,دير,Laura;Kloster;Ermitage,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:14,Nilometer,مقياس النيل,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:15,Other,أخري,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:16,Palace,قصر,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:17,Port,ميناء، مرسي السفن,Shipyard;Wharf;Harbor,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:18,Pyramid complex,مجموعة هرمية,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:19,Quarry,محجر,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:20,Religious complex,مجمع ديني,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:21,Settlement,مستوطنة ,Town;Village;Hamlet;City;Camp,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:22,Shrine,مقصورة,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:23,Stela,لوحه,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:24,Temple,معبد,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:25,"Temple, cult",معبد شعائر,Kulttempel,ARCHRES_TYPE_ID:24,Index,KW
ARCHRES_TYPE_ID:26,"Temple, memorial",معبد تخليد الذكري,Mortuary Temple;Funerary Temple;Totentempel,ARCHRES_TYPE_ID:24,Index,KW
ARCHRES_TYPE_ID:27,Theater,مسرح,Odeon;Coliseum,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:28,Tomb,"مقبرة, مدفن",Crypt;Grave;Mausoleum;Grab,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:29,Town quarter,حي,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:30,Unidentified Remains,بقايا لم يتم تحديدها,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:31,Workshop,ورشة عمل,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
ARCHRES_TYPE_ID:32,Worksite,منطقة عمل,work station,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,KW
