conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
INFO_CARRIER:1,DIGITAL FILE FORMAT,,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,GCI
INFO_CARRIER:2,PDF,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:3,DOCX,,,INFO_CARRIER:1,Index,KW
INFO_CARRIER:4,TXT,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:5,JPEG,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:6,GIF,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:7,PNG,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:8,TIFF,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:9,SVG,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:10,RAW,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:11,RDF,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:12,XML,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:13,HTML,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:14,CSV,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:15,MP4,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:16,AVI,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:17,MOV,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:18,AAC,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:19,MP3,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:20,other digital file format,,,INFO_CARRIER:1,Index,GCI
INFO_CARRIER:21,PHYSICAL MATERIAL,,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,GCI
INFO_CARRIER:24,acetate photographic film,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:25,archival paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:32,clear drawing film,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:33,cloth,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:35,drawing paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:36,general/ordinary paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:37,glass photographic plate,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:39,linen backed paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:40,magnetic disk,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:41,nitrate photographic film,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:42,paper coated with photographic emulsion,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:43,phonograph cylinder,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:44,photographic film,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:45,photographic paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:46,polyester photographic film,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:47,specialised paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:48,tracing paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:49,translucent drawing film,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:50,translucent paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:51,unknown,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:53,watercolour paper,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:54,waxed linen,,,INFO_CARRIER:21,Index,GCI
INFO_CARRIER:55,other material,,,INFO_CARRIER:21,Index,GCI
