conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
SUBJECT:1,Amen,امون,Amon;Amun,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:2,Anubis,انوبيس,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:3,Amen-Re,امون رع,Amon-Re;Amun-Re,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:4,Apis,ابيس,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:5,Apophis,ابوفيس,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:6,Aten,اتون,Aton,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:7,Atum,اتوم,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:8,Bastet,باستت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:9,Benu,بنو,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:10,Horus,حورس,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:11,Hathor,حتحور,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:12,Isis,ايزيس,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:13,Khepri,خبري,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:14,Khnum,خنوم,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:15,Khonsu,خنسو,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:16,Maat,ماعت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:17,Min,مين,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:18,Montu,مونتو,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:19,Mut,موت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:20,Neith,نيت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:21,Nut,نوت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:22,Osiris,اوزوريس,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:23,Ptah,بتاح,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:24,Re,رع,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:25,Sekhmet,سخمت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:26,Seth,ست,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:27,Serket,سركت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:28,Sobek,سوبك,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:29,Sokar,سوكر,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:30,Taweret,تاورت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
SUBJECT:31,Thoth,تحوت,,KEYWORD_AUTHORITY_DOCUMENT.csv,Index,KW RW
