conceptid,PrefLabel,ArLabel,AltLabels,ParentConceptid,ConceptType,Provider
NAME_TYPE:1,Primary,الإسم الرئيسي,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:2,English ,الإنجليزية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:3,Arabic,العربية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:4,Other,أسماء أخري,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:5,Coptic,القبطية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:6,Demotic,الديموطيقية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:7,Egyptian,اللغة المصرية القديمة ,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:8,French,الفرنسية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:9,German,الألمانية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:10,Greek,اليونانية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:11,Italian,الإيطالية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:12,Latin,اللاتينية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
NAME_TYPE:13,Spanish,الإسبانية,,NAME_TYPE_AUTHORITY_DOCUMENT.csv,Index,TMP
