Conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RULER_UID:1,Aha,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:2,Djer,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:3,Djet,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:4,Den,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:5,Merneith,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:6,Anedjib,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:7,Qa'a,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:8,Hetepsekhemwy,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:9,Reneb,Raneb,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:10,Nynetjer,Ninetjer,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:11,Weneg,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:12,Sened,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:13,Peribsen,Perabsen,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:14,Khasekhem,Khasekhemwy,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:15,Djoser,Netjerikhet,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:16,Sekhemkhet,Sechemchet,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:17,Snefru,Snofru;Seneferu,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:18,Khufu ,Cheops;Kheops,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:19,Redjedef,Djedfru;Djedefre,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:20,Khephren,Chephren;Chefren;Khafre,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:21,Menkaure,Mycerinus,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:22,Shepseskaf,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:23,Userkaf,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:24,Sahure,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:25,Neferirkare,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:26,Niuserre,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:27,Djedkare,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:28,Unas,Wenis,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
RULER_UID:29,Teti,,RULER_AUTHORITY_DOCUMENT.csv,Index,BM/TMP
