conceptid,Preflabel,altlabels,ParentConceptid,ConceptType,Provider
LANGUAGE:1,English ,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:2,Arabic,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:3,Coptic,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:4,Demotic,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:5,French,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:6,German,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:7,Greek,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:8,Egyptian,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:9,Italian,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:10,Latin,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:11,Spanish,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
LANGUAGE:12,Other,,LANGUAGE_AUTHORITY_DOCUMENT.csv,Index,GCI
