Source,Target,Type,Id,Label,Weight
4,15,Directed,1,P4,1
4,42,Directed,3,P42,1
4,61,Directed,4,P42,1
4,99,Directed,170,P42,1
4,103,Directed,5,P42,1
4,119,Directed,122,P2,1
5,21,Directed,6,P2,1
13,58,Directed,9,-P71,1
15,64,Directed,10,P78,1
15,66,Directed,11,P78,1
16,74,Directed,12,-P71,1
17,16,Directed,13,P2,1
18,3,Directed,14,-P71,1
18,28,Directed,15,P90,1
20,12,Directed,18,P4,1
20,13,Directed,19,P2,1
20,110,Directed,115,P2,1
20,111,Directed,116,P2,1
20,112,Directed,112,-P67,1
20,142,Directed,146,P3,1
20,167,Directed,172,-P138,1
21,11,Directed,21,-P71,1
23,2,Directed,22,-P71,1
24,30,Directed,23,P2,1
25,40,Directed,24,-P71,1
30,65,Directed,26,-P71,1
31,140,Directed,144,P2,1
32,78,Directed,33,P2,1
34,4,Directed,37,-P41,1
34,91,Directed,147,P108,1
36,18,Directed,38,P91,1
36,63,Directed,39,-P71,1
37,20,Directed,40,P35,1
42,6,Directed,41,-P71,1
44,8,Directed,43,P3,1
44,138,Directed,142,P2,1
45,22,Directed,44,-P71,1
46,41,Directed,45,-P71,1
49,1,Directed,46,-P71,1
50,67,Directed,47,P89,1
51,76,Directed,48,-P94,1
53,9,Directed,50,P78,1
53,43,Directed,51,P78,1
54,23,Directed,52,P2,1
61,14,Directed,55,-P71,1
67,72,Directed,57,P87,1
69,17,Directed,58,P1,1
69,34,Directed,61,-P108,1
69,36,Directed,62,P43,1
69,37,Directed,63,-P34,1
69,46,Directed,64,P2,1
69,51,Directed,65,P104,1
69,71,Directed,67,P53,1
69,77,Directed,68,BM.PX.is_related_to,1
69,93,Directed,108,-P140,1
69,105,Directed,71,P3,1
69,106,Directed,72,P2,1
69,150,Directed,156,-P31,1
69,154,Directed,160,-P92,1
69,155,Directed,161,-P93,1
71,175,Directed,191,P87,1
71,5,Directed,74,P87,1
71,31,Directed,75,P87,1
71,32,Directed,76,P45,1
71,44,Directed,77,P87,1
71,50,Directed,78,P87,1
76,45,Directed,80,P2,1
76,53,Directed,81,P4,1
77,54,Directed,82,P1,1
78,79,Directed,119,-P71,1
91,25,Directed,92,P2,1
91,49,Directed,93,P45,1
91,92,Directed,94,-P108,1
92,24,Directed,96,P33,1
93,94,Directed,109,P42,1
93,95,Directed,110,P42,1
93,123,Directed,126,P3,1
93,124,Directed,127,P42,1
93,130,Directed,175,P42,1
93,170,Directed,176,P4,1
93,173,Directed,179,P4,1
94,122,Directed,125,-P71,1
95,96,Directed,111,-P71,1
99,100,Directed,103,-P71,1
103,104,Directed,105,-P71,1
105,117,Directed,120,P2,1
106,107,Directed,106,-P71,1
110,115,Directed,117,-P71,1
111,116,Directed,118,-P71,1
112,113,Directed,113,P2,1
113,114,Directed,114,-P71,1
117,118,Directed,121,-P71,1
119,121,Directed,124,-P71,1
124,127,Directed,128,-P71,1
130,131,Directed,133,-P71,1
138,139,Directed,143,-P71,1
140,141,Directed,145,-P71,1
150,151,Directed,158,P2,1
150,153,Directed,157,P3,1
151,152,Directed,159,-P71,1
154,156,Directed,162,P2,1
154,158,Directed,164,P4,1
155,160,Directed,166,P2,1
155,162,Directed,168,P4,1
156,157,Directed,163,-P71,1
158,159,Directed,165,P78,1
160,161,Directed,167,-P71,1
162,165,Directed,169,P78,1
167,166,Directed,174,P3,1
167,169,Directed,173,P3,1
170,171,Directed,177,P78,1
170,172,Directed,178,P78,1
32,174,Directed,188,-P71,1
61,178,Directed,184,-P71,1
178,180,Directed,185,-P71,1
180,181,Directed,186,-P71,1
178,182,Directed,187,-P71,1
175,176,Directed,190,P2,1
176,184,Directed,192,-P71,1
