Id,Label,mergenode,businesstable
95,INTEGRITY_TYPE.E55,HERITAGE_RESOURCE.E18,domains
96,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
99,HERITAGE_RESOURCE_USE_TYPE.E55,PRODUCTION.E12,domains
100,USE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
103,ANCILLARY_FEATURE_TYPE.E55,PRODUCTION.E12,domains
104,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
110,DISTURBANCE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
115,DISTURBANCE_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
111,THREAT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
116,THREAT_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
119,STYLE.E55,PRODUCTION.E12,domains
121,STYLE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
124,STATUS.E55,HERITAGE_RESOURCE.E18,domains
127,STATUS_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
130,ELIGIBILITY_REQUIREMENT_TYPE.E55,HERITAGE_RESOURCE.E18,domains
131,ELIGIBILITY_REQUIREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
72,PLACE_APPELLATION_CADASTRAL_REFERENCE.E44,PLACE.E53,strings
118,DESCRIPTION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
114,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
169,CONDITION_IMAGE_THUMBNAIL.E62,CONDITION_ASSESSMENT.E14,files
172,PERIOD_OF_SIGNIFICANCE_FROM_DATE.E49,HERITAGE_RESOURCE.E18,dates
174,GOVERNORATE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
153,MODIFICATION_DESCRIPTION.E62,HERITAGE_RESOURCE.E18,strings
182,DYNASTY_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
173,DATE_EVALUATED.E49,HERITAGE_RESOURCE.E18,dates
44,PLACE_SITE_LOCATION.E53,PLACE.E53,
8,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
138,SETTING_TYPE.E55,PLACE.E53,domains
139,SETTING_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
50,PLACE_CADASTRAL_REFERENCE.E53,PLACE.E53,
67,PLACE_THIS_LAND_PARCEL.E53,PLACE.E53,
77,EXTERNAL_RESOURCE.E1,HERITAGE_RESOURCE.E18,
54,EXTERNAL_XREF.E42,HERITAGE_RESOURCE.E18,strings
23,EXTERNAL_XREF_TYPE.E55,HERITAGE_RESOURCE.E18,domains
2,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
105,DESCRIPTION.E62,HERITAGE_RESOURCE.E18,strings
117,DESCRIPTION_TYPE.E55,HERITAGE_RESOURCE.E18,domains
112,MANAGEMENT_RECOMMENDATION.E89,CONDITION_ASSESSMENT.E14,
113,RECOMMENDATION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
167,CONDITION_IMAGE.E73,CONDITION_ASSESSMENT.E14,
166,CONDITION_IMAGE_FILE_PATH.E62,CONDITION_ASSESSMENT.E14,files
170,PERIOD_OF_SIGNIFICANCE.E49,HERITAGE_RESOURCE.E18,
171,PERIOD_OF_SIGNIFICANCE_TO_DATE.E49,HERITAGE_RESOURCE.E18,dates
36,MEASUREMENT_TYPE.E55,HERITAGE_RESOURCE.E18,domains
63,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
28,VALUE_OF_MEASUREMENT.E60,HERITAGE_RESOURCE.E18,strings
79,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
43,DESIGNATION_OR_PROTECTION_TO_DATE.E49,RIGHT.E30,dates
152,MODIFICATION_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
157,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
158,BEGINNING_OF_EXISTENCE_TIME-SPAN.E52,HERITAGE_RESOURCE.E18,
159,START_DATE_OF_EXISTENCE.E49,HERITAGE_RESOURCE.E18,dates
161,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
162,END_OF_EXISTENCE_TIME-SPAN.E52,HERITAGE_RESOURCE.E18,
165,END_DATE_OF_EXISTENCE.E49,HERITAGE_RESOURCE.E18,dates
142,CONDITION_DESCRIPTION.E62,CONDITION_ASSESSMENT.E14,strings
13,CONDITION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
58,CONDITION_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
66,FROM_DATE.E49,PRODUCTION.E12,dates
42,HERITAGE_RESOURCE_TYPE.E55,PRODUCTION.E12,domains
6,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
65,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
181,RULER_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
106,RESOURCE_TYPE_CLASSIFICATION.E55,HERITAGE_RESOURCE.E18,domains
107,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
141,ADDRESS_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
123,REASONS.E62,HERITAGE_RESOURCE.E18,strings
18,UNIT_OF_MEASUREMENT.E55,HERITAGE_RESOURCE.E18,domains
3,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
32,ADMINISTRATIVE_SUBDIVISION.E48,PLACE.E53,domains
78,ADMINISTRATIVE_SUBDIVISION_TYPE.E55,PLACE.E53,domains
51,RIGHT.E30,HERITAGE_RESOURCE.E18,
76,PROTECTION_EVENT.E65,RIGHT.E30,
45,TYPE_OF_DESIGNATION_OR_PROTECTION.E55,RIGHT.E30,domains
22,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.E32,RIGHT.E30,strings
53,TIME_SPAN_OF_DESIGNATION_OR_PROTECTION.E52,RIGHT.E30,
9,DESIGNATION_OR_PROTECTION_FROM_DATE.E49,RIGHT.E30,dates
150,MODIFICATION_EVENT.E11,HERITAGE_RESOURCE.E18,
151,MODIFICATION_TYPE.E55,HERITAGE_RESOURCE.E18,domains
154,BEGINNING_OF_EXISTENCE.E63,HERITAGE_RESOURCE.E18,
