Id,Label,mergenode,businesstable
361,PHASE_TYPE_ASSIGNMENT.E17,PRODUCTION.E12,
372,TIME-SPAN_PHASE.E52,PRODUCTION.E12,
395,HERITAGE_RESOURCE_GROUP_TYPE.E55,PRODUCTION.E12,domains
413,CULTURAL_PERIOD.E55,PRODUCTION.E12,domains
448,HERITAGE_RESOURCE_GROUP_USE_TYPE.E55,PRODUCTION.E12,domains
450,ANCILLARY_FEATURE_TYPE.E55,PRODUCTION.E12,domains
362,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
378,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
370,CONDITION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
410,CONDITION_AUTHORITY_DOCUMENT.E32,CONDITION_ASSESSMENT.E14,strings
416,TO_DATE.E49,PRODUCTION.E12,dates
417,FROM_DATE.E49,PRODUCTION.E12,dates
373,NAME_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
425,NAME_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
374,NAME.E41,HERITAGE_RESOURCE_GROUP.E27,strings
375,UNIT_OF_MEASUREMENT.E55,HERITAGE_RESOURCE_GROUP.E27,domains
360,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
383,VALUE_OF_MEASUREMENT.E60,HERITAGE_RESOURCE_GROUP.E27,strings
377,CONDITION_STATE.E3,CONDITION_ASSESSMENT.E14,
369,DATE_CONDITION_ASSESSED.E49,CONDITION_ASSESSMENT.E14,dates
457,DISTURBANCE_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
458,THREAT_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
459,MANAGEMENT_RECOMMENDATION.E89,CONDITION_ASSESSMENT.E14,strings
480,CONDITION_DESCRIPTION.E62,CONDITION_ASSESSMENT.E14,strings
512,CONDITION_IMAGE.E73,CONDITION_ASSESSMENT.E14,
368,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
380,EXTERNAL_XREF_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
359,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
385,PLACE_ADDRESS.E45,PLACE.E53,strings
481,ADDRESS_TYPE.E55,PLACE.E53,domains
386,ADMINISTRATIVE_SUBDIVISION.E48,PLACE.E53,domains
429,ADMINISTRATIVE_SUBDIVISION_TYPE.E55,PLACE.E53,domains
388,PRODUCTION.E12,HERITAGE_RESOURCE_GROUP.E27,
390,MEASUREMENT_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
415,MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
391,CONDITION_ASSESSMENT.E14,HERITAGE_RESOURCE_GROUP.E27,
363,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
397,PLACE_SITE_LOCATION.E53,PLACE.E53,
365,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
398,TYPE_OF_DESIGNATION_OR_PROTECTION.E55,RIGHT.E30,domains
379,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.E32,RIGHT.E30,strings
399,KEYWORD.E55,HERITAGE_RESOURCE_GROUP.E27,domains
394,KEYWORD_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
402,PLACE_CADASTRAL_REFERENCE.E53,PLACE.E53,
418,PLACE_THIS_LAND_PARCEL.E53,PLACE.E53,
403,RIGHT.E30,HERITAGE_RESOURCE_GROUP.E27,
427,PROTECTION_EVENT.E65,RIGHT.E30,
405,TIME_SPAN_OF_DESIGNATION_OR_PROTECTION.E52,RIGHT.E30,
366,DESIGNATION_OR_PROTECTION_FROM_DATE.E49,RIGHT.E30,dates
396,DESIGNATION_OR_PROTECTION_TO_DATE.E49,RIGHT.E30,dates
406,EXTERNAL_XREF.E42,HERITAGE_RESOURCE_GROUP.E27,strings
371,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
423,PLACE_APPELLATION_CADASTRAL_REFERENCE.E44,PLACE.E53,strings
420,HERITAGE_RESOURCE_GROUP.E27,HERITAGE_RESOURCE_GROUP.E27,
422,PLACE.E53,HERITAGE_RESOURCE_GROUP.E27,
428,EXTERNAL_RESOURCE.E1,HERITAGE_RESOURCE_GROUP.E27,
442,EVALUATION_CRITERIA_ASSIGNMENT.E13,HERITAGE_RESOURCE_GROUP.E27,
452,DESCRIPTION.E62,HERITAGE_RESOURCE_GROUP.E27,strings
453,RESOURCE_TYPE_CLASSIFICATION.E55,HERITAGE_RESOURCE_GROUP.E27,domains
501,BEGINNING_OF_EXISTENCE.E63,HERITAGE_RESOURCE_GROUP.E27,
502,END_OF_EXISTENCE.E64,HERITAGE_RESOURCE_GROUP.E27,
430,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
443,EVALUATION_CRITERIA_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
455,INTEGRITY_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
471,STATUS.E55,HERITAGE_RESOURCE_GROUP.E27,domains
472,REASONS.E62,HERITAGE_RESOURCE_GROUP.E27,strings
475,ELIGIBILITY_REQUIREMENT_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
514,PERIOD_OF_SIGNIFICANCE.E52,HERITAGE_RESOURCE_GROUP.E27,
517,DATE_EVALUATED.E49,HERITAGE_RESOURCE_GROUP.E27,dates
466,EVALUATION_CRITERIA_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
449,USE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
451,ANCILLARY_FEATURE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
464,DESCRIPTION_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
454,RESOURCE_CLASSIFICATION_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
456,INTEGRITY_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
